,text
0,"We're all affected in different ways. The length of time, severity and  heritage can play a part just like Covid. 
It's been a whole week now and the  lack of sleep , coughing fits, intermittent  temperature, phlegm, slight shortness of breath, runny nose, sneezing, fatigue has floored me.

I work in a large school with young children. 15  intermittent cases of staff Covid during the past few weeks says alot . A chorus of coughing in the classroom, despite my restless handwashing layered with good alcohol sanitizer  good diet, excellent diet IN FACT with Vit C and Zinc  supplements hasnt overly  protected me . 

As an older woman I've never had  this Virus so bad . The coughing is the worst when it comes in fits 😫. 

I feel I'm turning a corner now, having been off work  for almost a week now!... 

Make no bones about it, I don't bounce back like when I was younger, so now I just do what I can to help my body heal.

I do suffer with ear nose and throat issues whenever I contract a virus 🙃...could be a lot worse...All will be well. Xxx"
1,"No correlation between color of mucus and bacterial infection.  Almost ALWAS due to bronchospasm.  First line drug:  Albuterol.  Second/Third/Fourth line drug:  ALbuterol.   Then a floroquinolone.  If the cough lasts more than 2 weeks, think about adult pertussis."
2,Somebody in here who has been dealing with Bronchitis and has get rid of the cough completely?
3,Bronchitis after covid. 11days terrible shortness of breathe. Inhaler doing nothing. Going for antibiotics today. Trying benelyn mucous phlegm syrup.
4,Definitely have a lot of these. But vomiting. Not a constant cough. I do have some wheezing. I think I have this more then I do COVID. But I'm not doctor and most symptoms are same on a lot of these Viruses. But I was around my neighbor who had had it.
5,"Funnily enough, after having a sore throat, cough, tonsillitis secondary to a cold, I recovered after having some antibiotics.. or so I thought. Only had a week's reprieve then developed a severe, persistent deep cough which was more chesty the 2nd time around. One episode of my coughing fits was so bad I vomited. The phlegm I produced went from green to yellow. It only lasted 7-8 days but felt like forever, tired all-round, low-grade fever. Very difficult getting a GP appt in the NHS but I definitely had a feeling it was bronchitis because I've never had a cough as bad as that, it was very stubborn. Also, I'm that person that just wants to crack on with things, so felt I can just ride it out. My coughs are usually bad and make people around me concerned but I always got over them and it's always the 1st symptom to go away when I'm recovering from my cold. The ?bronchitis went after 7-8 days then I had a further 10days-2weeks reprieve then just 2 days go developed a new sudden onset cough. It's back with a vengeance :') and it's dry and hacking so far, just using my usual remedies and OTC meds. Le sigh"
6,"Bronchitis in Ayurveda is correlated with kasa roga. In this disease, there is aggravation of vata and kapha dosha. Due to which cough, cold, excessive mucus production, breathlessness, chest congestion, & chest tightness take place. In bronchitis, there is formation of ama in the lungs."
7,Any one have chest pains when breathing
8,"Imagine having this round the time of covid. Almost the same symptoms, coughing & shortness of breath"
9,Now i have been sick for 17 year's with my severe asthma and COPD.I am 53 now but keep my self active take my vitamins everyday suppose to use 2 to 3 liters of o2 24/7 but are times i dont need it..This coming in from 2019/2020 i have had severe bronchitis and COPD exhauberations alot this year due to the weather.Right now i am getting a flare up and with thid COVID-19 its almost the same conditions and symptoms.I have no fever but kinda hard to get the doctor to let me come in cause of that virus but how do you really tell the differences between the two when you indeed can have all the same issues?and what do i do?I have wheezing that was breaking up but more of a dry cough right now and stuffy nose and sinuses..
10,"I have had it twice in the past 4 months, both after have a cold, sore throat and fever. Both times I had a hacking cough for 4 weeks afterwards! Really scratchy and painful, I have to cough otherwise it starts to burn."
